aname,bname
消化性溃疡,溃疡疼痛
消化性溃疡,难治性溃疡
肾功能衰竭,蛋白尿
肾功能衰竭,血尿
肾功能衰竭,少尿
肾功能衰竭,肌红蛋白偏高
肾功能衰竭,多尿
肾功能衰竭,脱水
肾功能衰竭,氮质血症
肾功能衰竭,指甲营养障碍
肾功能衰竭,指甲细长
偏头痛,头晕
偏头痛,头痛
偏头痛,面色苍白
偏头痛,意识障碍
偏头痛,头昏
偏头痛,血压高
偏头痛,神经痛
偏头痛,剧烈运动后头痛
偏头痛,夜间头痛
偏头痛,头昏脑胀四肢无力
蜘蛛痣,岳军
蜘蛛痣,出血性丘疹
蜘蛛痣,病理性黄疸
蜘蛛痣,肝大
蜘蛛痣,特殊面痣
肝纤维化,肝脏病变弥漫
肝纤维化,腹部肿块
肝纤维化,腹痛伴黄疸
肝纤维化,上腹部肿块及腹胀
肝纤维化,肝星状细胞增生
肝纤维化,上腹部包块
肝纤维化,肝结节
肝纤维化,门体侧支循环
肝纤维化,肝纤维化
结肠息肉,腹痛
结肠息肉,便秘
结肠息肉,便血
结肠息肉,里急后重
结肠息肉,黏液便
结肠息肉,排气障碍
结肠息肉,排便频率异常
结肠息肉,停止排气
智能障碍,抽搐
智能障碍,驻站医
智能障碍,意识丧失
智能障碍,进行性痴呆
智能障碍,痴呆
智能障碍,孤独症
智能障碍,社交敏感性障碍
智能障碍,脆性X综合征
智能障碍,注意障碍
肝肾综合征,乏力
肝肾综合征,少尿
肝肾综合征,扑翼样震颤
肝肾综合征,消瘦
肝肾综合征,食欲不振
肝肾综合征,厌食
肝肾综合征,腹水
肝肾综合征,肾小管坏死
肝肾综合征,氮质血症
肝肾综合征,肝肾综合征
肛裂,疲劳
肛裂,便秘
肛裂,便血
肛裂,肛门瘙痒
肛裂,肛门疼痛
肛裂,排粪时肛门灼痛
肛裂,产后便血
肛裂,脓血便
肛裂,坐立不安
肛裂,肛裂
结肠粪性穿孔,腹痛
结肠粪性穿孔,钙化
结肠粪性穿孔,便秘
结肠粪性穿孔,腹膜炎
结肠粪性穿孔,腹部有局部或广...
结肠粪性穿孔,一侧性下腹剧烈疼痛
结肠粪性穿孔,持续性下腹疼痛
结肠粪性穿孔,结肠粪性穿孔
视神经萎缩,视力障碍
视神经萎缩,视神经乳头苍白
视神经萎缩,视力常呈雾状模糊感
视神经萎缩,生理性萎缩
视神经萎缩,视空间功能受损
视神经萎缩,眼底点状或火焰状出血
视神经萎缩,眼底改变
肠粘连,腹痛
肠粘连,嗳气
肠粘连,排气障碍
急性胃扩张,恶心
急性胃扩张,烦躁不安
急性胃扩张,呼吸急促
急性胃扩张,肠麻痹
急性胃扩张,脱水
急性胃扩张,腹膜炎
急性胃扩张,震水音
急性胃扩张,胃移位
急性胃扩张,低血钾
急性胃扩张,急性胃扩张
酒精性肝硬化,乏力
酒精性肝硬化,肝脾肿大
酒精性肝硬化,肝掌
酒精性肝硬化,蜘蛛痣
酒精性肝硬化,肝缩小
溶血性黄疸,驻站医
溶血性黄疸,血红蛋白尿
溶血性黄疸,腰背酸痛
角膜炎,视力障碍
角膜炎,流泪
角膜炎,眼痛
角膜炎,眼部烧伤感
角膜炎,睫状充血
角膜炎,眼睑部有明显的...
角膜炎,眼内有异物感
角膜炎,畏光及流泪
代谢性碱中毒,昏迷
代谢性碱中毒,烦躁不安
代谢性碱中毒,无尿
代谢性碱中毒,少尿
代谢性碱中毒,嗜睡
代谢性碱中毒,毒性表现
代谢性碱中毒,腱反射亢进
代谢性碱中毒,躁狂
代谢性碱中毒,新陈代谢低下
代谢性碱中毒,舞蹈样手足徐动
骨质疏松,骨痛
骨质疏松,骨代谢减低
骨质疏松,胸腰椎压缩性骨折
骨质疏松,脊柱骨质改变
骨质疏松,驼背
骨质疏松,女性腰痛
骨质疏松,门齿间距增宽
骨质疏松,腓肠肌痉挛性疼痛
骨质疏松,四肢长骨和肌肉...
骨质疏松,弥漫性骨质疏松
过敏性皮炎,碘伏过敏
过敏性皮炎,丹毒样外观
过敏性皮炎,小儿湿疹
过敏性皮炎,南晓
过敏性皮炎,过敏性皮炎
剥脱性皮炎,低热
剥脱性皮炎,低血压
剥脱性皮炎,淋巴结肿大
剥脱性皮炎,肝肿大
剥脱性皮炎,肝脾肿大
剥脱性皮炎,睾丸萎缩
剥脱性皮炎,口腔溃疡
剥脱性皮炎,脱症
缺铁性贫血,恶心
缺铁性贫血,要利琴
缺铁性贫血,晕厥
缺铁性贫血,吞咽困难
缺铁性贫血,耳鸣
缺铁性贫血,心力衰竭
缺铁性贫血,食指指甲凹陷
